trade_date,stock_code,stock_name,close_price_hkd,daily_change_pct,volume
2025-01-02,DEMO001,Harbour Technology,42.80,1.42,1285000
2025-01-03,DEMO001,Harbour Technology,43.15,0.82,1362000
2025-01-06,DEMO001,Harbour Technology,42.70,-1.04,1198000
2025-01-07,DEMO001,Harbour Technology,44.05,3.16,1624000
2025-01-08,DEMO001,Harbour Technology,44.60,1.25,1489000
2025-01-02,DEMO002,Pearl Financial,28.35,-0.53,896000
2025-01-03,DEMO002,Pearl Financial,28.90,1.94,1025000
2025-01-06,DEMO002,Pearl Financial,29.10,0.69,984000
2025-01-07,DEMO002,Pearl Financial,28.75,-1.20,1107000
2025-01-08,DEMO002,Pearl Financial,29.40,2.26,1215000
2025-01-02,DEMO003,Victoria Energy,17.90,0.28,1765000
2025-01-03,DEMO003,Victoria Energy,17.65,-1.40,1689000
2025-01-06,DEMO003,Victoria Energy,18.20,3.12,2043000
2025-01-07,DEMO003,Victoria Energy,18.55,1.92,1986000
2025-01-08,DEMO003,Victoria Energy,18.30,-1.35,1814000
